Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Wenceel Pérez","DET",56,244,220,54,35,11,3,5,30,24,19,0,48,2,2,1,,6,2,0.24457,0.0798436,0.198637,0.401957,0.308984,0.391975,0.307761,0.700959,0.147405,6.39835,0.287622,0.327193,0.0857859,26.9298,-1.24914,97.5935,0.412979,-0.474241,-0.2574038505554199,-2.7797965109348297,0.526846,522.469970703125,,,,,,,247.2,4.414285714,247.2,4.414285714,,,,,,,,,,,,,,,,,,,"Wenceel Perez","22857",672761
"Matt Thaiss","TBR",38,149,127,27,19,5,0,3,14,14,19,0,39,1,1,0,,2,0,0.21348,0.128159,0.262937,0.487415,0.320119,0.33196,0.296084,0.652078,0.11848,3.26311,0.277389,-0.328088,-0.0386237,15.096,-2.15888,92.2506,-0.366712,-1.1543,-1.6885986626148224,1.7623686790466309,0.523523,747.6799926757812,,,,,,,130.7,3.439473684,130.7,3.439473684,,,,,,,,,,,,,,,,,,,"Matt Thaiss","19318",642136
"Johan Rojas","PHI",37,160,147,37,27,6,1,2,20,14,7,0,32,2,1,3,,10,2,0.249915,0.0462639,0.20326,0.227609,0.291984,0.357866,0.286406,0.64985,0.107951,7.61294,0.304561,0.790196,1.13269,14.9087,-3.54445,79.8952,1.92288,1.07957,-1.829936146736145,1.6499415040016174,0.521138,581.510009765625,,,,,,,142.5,3.851351351,142.5,3.851351351,,,,,,,,,,,,,,,,,,,"Johan Rojas","24336",679032
"Miguel Vargas","CHW",71,305,266,60,37,14,1,8,35,31,32,0,65,3,2,0,,5,2,0.223835,0.106193,0.213274,0.497916,0.313367,0.375847,0.306609,0.689214,0.152012,4.33387,0.262673,-0.178048,-0.166929,33.3863,-1.84241,95.1033,-0.344977,-0.319389,-2.050313323736191,-3.171240359544754,0.510626,388.3399963378906,,,,,,,300.4,4.230985915,300.4,4.230985915,,,,,,,,,,,,,,,,,,,"Miguel Vargas","20178",678246
"Nolan Jones","CLE",48,208,180,41,25,10,1,6,23,22,25,1,65,1,1,1,,5,1,0.228196,0.118246,0.310876,0.380363,0.323177,0.381135,0.311233,0.704312,0.152939,4.80317,0.319825,-0.114854,0.0260279,23.5567,-0.488303,100.075,-0.0888257,-0.185393,-0.07091348432004452,-1.9372450560331345,0.510185,264.760009765625,,,,,,,225.4,4.695833333,225.4,4.695833333,,,,,,,,,,,,,,,,,,,"Nolan Jones","20529",666134
"Ty France","MIN",70,301,268,68,47,14,0,7,32,33,22,0,54,9,2,0,,0,0,0.255429,0.0733583,0.177712,0.412793,0.331194,0.391447,0.321229,0.722641,0.136018,1.92705,0.292116,-1.14057,-0.456709,36.4994,1.70011,106.51,-1.59728,-0.158459,0.6423267126083374,-5.746422320604324,0.509994,421.17999267578125,,,,,,,312.2,4.46,312.2,4.46,,,,,,,,,,,,,,,,,,,"Ty France","17982",664034
"Victor Caratini","HOU",34,139,124,30,21,5,0,4,15,15,12,0,28,2,1,0,,0,0,0.243752,0.088438,0.199265,0.443821,0.320371,0.37626,0.309087,0.696631,0.132508,2.01596,0.283056,-0.584165,-0.273517,15.5153,-0.565303,98.8722,-0.857682,0.0914738,-1.036963701248169,1.271103322505951,0.505081,568.1599731445312,,,,,,,138.1,4.061764705,138.1,4.061764705,,,,,,,,,,,,,,,,,,,"Victor Caratini","14968",605170
"Josh Rojas","CHW",45,196,174,42,29,8,1,4,22,18,19,0,43,1,1,1,,5,1,0.238889,0.0959061,0.217658,0.440628,0.313518,0.357072,0.298414,0.67059,0.118183,5.17704,0.29381,0.292968,0.137778,20.1785,-2.46853,89.3677,0.430746,-0.438994,-1.9496673047542572,0.2610062062740326,0.50159,589.5999755859375,,,,,,,194.4,4.32,194.4,4.32,,,,,,,,,,,,,,,,,,,"Josh Rojas","19734",668942
"Spencer Steer","CIN",60,261,230,55,33,13,1,8,32,32,26,0,54,4,2,0,,7,2,0.241357,0.100179,0.207016,0.483919,0.326367,0.414969,0.326548,0.741336,0.173612,5.28212,0.278935,0.207202,0.366144,32.7825,2.58645,101.404,0.573346,0.195076,1.0022564232349396,-4.678998425602913,0.501319,177.8000030517578,,,,,,,294.3,4.905,294.3,4.905,,,,,,,,,,,,,,,,,,,"Spencer Steer","26323",668715
"Angel Martínez","CLE",44,190,171,43,30,9,1,3,20,18,13,0,38,2,2,1,,3,1,0.25147,0.0694044,0.19807,0.350404,0.309341,0.370732,0.300708,0.680073,0.119261,4.6723,0.30215,-0.145675,-0.0873771,19.8588,-2.0393,92.7094,-0.233052,-0.475383,-1.8113362491130829,0.3341844975948334,0.501179,745.6400146484375,,,,,,,177.7,4.038636363,177.7,4.038636363,,,,,,,,,,,,,,,,,,,"Angel Martinez","26540",682657
