Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jay Jackson",,0.585187,0.608692,0,4.61185,9.36708,0,0,0.497292,0,11.9656,50.5961,10.9516,6.66467,6.1315,2.15545,4.35204,0.27306,0.472516,12.6291,9.49904,3.27341,2.90188,1.62124,0.249606,0.0860154,0.16359053552150726,0.239267,1.27897,0.283867,0.703156,,,4.60698,-0.0431593,-0.0766404,999,1.66716,-0.657142,1.25654,1.66716,0.657142,3.32461,49.600000000000016,4.133333333333335,48,4,,,,,,,,,,,,,,,,,,,"Jay Jackson","7432",543351
"Mike Clevinger","CHW",2.03404,3.11967,0.0207904,4.4749,39.2215,0.92484,11.9391,5.357,1.78018,46.6748,198.984,45.4556,25.2253,23.2072,6.97524,15.3694,0.84052,2.33546,42.0546,8.10912,2.96357,2.73627,1.34499,0.211347,0.0772391,0.13410760462284088,0.250749,1.30316,0.290968,0.697218,,,4.44518,-0.0433669,0.000805144,456.57000732421875,2.66863,0.0903886,1.22846,2.66863,-0.0903886,3.36205,257.70000000000005,5.482978723404257,257,5.468085106382978,,,,,,,,,,,,,,,,,,,"Mike Clevinger","12808",605182
"Kyle Nicolas","PIT",1.30496,1.40869,0,4.31122,35.9675,0,0,3.76181,0,38.4227,170.82,36.3685,20.0059,18.4054,4.366,19.7021,0.664317,2.59,39.0307,9.14243,4.61497,1.98104,1.02268,0.22849,0.115339,0.1131516620516777,0.24486,1.45931,0.304406,0.721898,,,4.35258,-0.04339,0.0433494,999,1.83718,-0.273592,0.759202,1.83718,0.273592,3.98773,163.4,4.3,163,4.2894736842105265,,,,,,,,,,,,,,,,,,,"Kyle Nicolas","27775",693312
"Albert Abreu",,0.731178,0.759111,0,4.75655,19.4119,0,0,0.831897,0.218675,20.0277,88.9129,19.3399,11.5052,10.5847,2.97265,9.99453,0.322068,1.29784,19.4741,8.75124,4.49132,1.94848,1.33584,0.219025,0.112408,0.1066167801618576,0.24916,1.46469,0.29665,0.708278,,,4.84282,-0.0446787,-0.0792882,999,1.23988,-0.995322,1.03863,1.23988,0.995322,3.61515,70.69999999999999,3.5349999999999993,70,3.5,,,,,,,,,,,,,,,,,,,"Albert Abreu","17485",656061
"Connor Seabold","TBR",0.555604,1.33495,0.648384,5.36186,8.79113,1.76301,0,0.869445,0,16.4088,70.2171,17.1135,10.6258,9.77575,3.16428,4.24527,0.109969,1.10869,12.6137,6.91842,2.32847,2.97123,1.73556,0.179638,0.0604592,0.11917895078659058,0.26384,1.30167,0.284184,0.634007,,,5.11484,-0.0457338,-0.173306,750.9400024414062,2.84419,-0.535505,1.16712,2.84419,0.535505,3.44384,52.3,3.26875,56,3.5,,,,,,,,,,,,,,,,,,,"Connor Seabold","19695",657756
"Cade Horton","CHC",0.354934,0.0163818,0,4.83653,2.98992,0.327322,0,0,0,5.55115,23.6704,5.15425,3.24255,2.98315,1.08999,2.36233,0,0,5.4407,8.82092,3.83001,2.30311,1.76718,0.229852,0.0998008,0.13005130738019943,0.241892,1.35406,0.275032,0.713455,,,5.03553,-0.047028,0.0128266,999,0.748666,1.37427,1.35663,0.748666,-1.37427,3.19116,23.10000000000001,3.8500000000000014,21,3.5,,,,,,,,,,,,,,,,,,,"Cade Horton","31872",690990
"Nick Anderson","COL",2.01733,1.17086,0,4.23425,23.4036,0,0.275779,2.53977,0.746895,24.2837,104.125,24.04,12.4183,11.4248,3.5188,8.55979,0.499666,0.859885,21.0436,7.79915,3.17242,2.45842,1.30413,0.202099,0.0822067,0.11989204585552216,0.25384,1.34246,0.292562,0.729274,,,4.48079,-0.0474437,0.051302,750.9500122070312,0.772963,-0.225593,1.01703,0.772963,0.225593,3.64396,90.00000000000003,3.7500000000000013,92,3.8333333333333335,,,,,,,,,,,,,,,,,,,"Nick Anderson","18337",623433
"Darren McCaughan","MIN",0.351247,0.223214,0.265973,5.86324,3.6361,2.18294,0.248663,0.0980869,0,14.0672,63.8711,16.8032,9.9613,9.1644,2.72013,5.1936,0.248434,0.938644,10.7867,6.90116,3.32278,2.07692,1.7403,0.168882,0.0813138,0.08756860345602036,0.29102,1.56369,0.31839,0.661705,,,5.45442,-0.0498353,-0.159614,999,2.5928,0.795749,1.1045,2.5928,-0.795749,3.52733,26.500000000000014,1.892857142857144,35,2.5,,,,,,,,,,,,,,,,,,,"Darren McCaughan","20038",670766
"Yunior Marte",,0.750076,0.697868,0,5.39073,22.0774,0,0.426626,1.44625,0.713691,25.3265,115.269,28.4594,16.4889,15.1698,3.32555,11.9728,0.400958,1.13688,22.3891,7.95619,4.25466,1.87,1.18177,0.194234,0.103868,0.09036517143249512,0.278578,1.59644,0.328784,0.669248,,,4.65832,-0.0511984,-0.285351,999,3.48693,0.222015,0.840413,3.48693,-0.222015,3.87945,84.3,3.372,95,3.8,,,,,,,,,,,,,,,,,,,"Yunior Marte","14416",628708
"Christian Roa","MIA",0.409692,0.684981,0,4.57186,4.75668,0,0,0,0,7.30592,33.9603,7.66294,4.03402,3.71129,1.00885,4.54111,0.169141,0.496041,7.3662,9.07426,5.59409,1.62212,1.24278,0.216906,0.133718,0.0831880271434784,0.264941,1.67043,0.32383,0.757069,,,5.01349,-0.0535732,-0.0233198,999,2.68483,0.219464,1.27818,2.68483,-0.219464,3.29576,17.700000000000014,2.5285714285714307,21,3,,,,,,,,,,,,,,,,,,,"Christian Roa","sa3014477",685005
