Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tyler Callihan","CIN",4,19,17,4,3,1,0,0,2,2,1,0,5,0,0,0,,1,0,0.223121,0.0713484,0.280005,0.254811,0.285322,0.353725,0.283756,0.639047,0.130605,4.85113,0.292131,0.0161902,0.0164063,1.75759,-0.457324,71.8633,0.0325966,0.0441741,-0.6036065332591534,0.044174082577228546,0.00789116,999,,,,,,,13.2,3.3,13.2,3.3,,,,,,,,,,,,,,,,,,,"Tyler Callihan","27497",682997
"Eguy Rosario","SDP",2,10,9,2,1,1,0,0,1,1,1,0,3,0,0,0,,0,0,0.219989,0.0748957,0.274894,0.272454,0.282251,0.351459,0.281502,0.63371,0.13147,3.77233,0.291793,-0.00363407,-0.0128031,0.892634,-0.25473,80.5064,-0.0164372,-0.0485986,-0.24476558715105057,-0.013104792684316635,0.00740714,709.030029296875,,,,,,,8.1,4.05,8.1,4.05,,,,,,,,,,,,,,,,,,,"Eguy Rosario","19964",666703
"Matt Koperniak","STL",4,19,18,4,3,1,0,0,2,2,1,0,4,0,0,0,,0,0,0.236931,0.0619864,0.202142,0.306648,0.286327,0.354494,0.284187,0.640821,0.117563,2.72143,0.279182,-0.0260074,-0.0367688,1.78005,-0.454811,80.1072,-0.0627762,0.149955,-0.5166279152035713,-0.05745233595371246,0.0069633,999,,,,,,,10.3,2.575,10.3,2.575,,,,,,,,,,,,,,,,,,,"Matt Koperniak","sa3014834",689288
"Steward Berroa","LAD",1,5,4,1,1,0,0,0,1,0,0,0,1,0,0,0,,0,0,0.212391,0.0890836,0.293919,0.303089,0.284505,0.284693,0.260145,0.569198,0.072302,6.81747,0.300306,0.0169512,0.059637,0.352411,-0.206306,64.1026,0.0765882,0.00307753,-0.12816063314676285,0.020361483097076416,0.0054548,999,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,"Steward Berroa","22766",672642
"Chadwick Tromp","BAL",1,5,4,1,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.219556,0.0677409,0.250662,0.270248,0.274118,0.296366,0.257634,0.570484,0.0768104,2.40089,0.283815,-0.00888601,-0.00801676,0.318956,-0.200992,65.0308,-0.0169028,0.00700265,-0.19488771632313728,0.0949656143784523,0.00520275,740,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,"Chadwick Tromp","16953",644433
"Jared Serna","MIA",1,5,5,1,1,0,0,0,1,0,0,0,1,0,0,0,,0,0,0.234879,0.0701277,0.196441,0.356992,0.29239,0.33305,0.277138,0.62544,0.0981712,3.89638,0.285336,0.000499672,-0.0048007,0.425325,-0.143369,71.2516,-0.00430103,0.00191433,-0.1712020067498088,0.05469210725277662,0.00484667,999,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,"Jared Serna","sa3015579",691858
"Ronny Mauricio","NYM",3,15,14,3,2,1,0,0,2,2,1,0,3,0,0,0,,1,0,0.244484,0.0511103,0.223967,0.228205,0.284763,0.398227,0.297937,0.682989,0.153742,5.24748,0.288493,0.0117477,0.0394473,1.49392,-0.182226,91.4411,0.051195,-0.42788,-0.09525731578469276,-0.3414599448442459,0.00458231,644,,,,,,,10.6,3.533333333,10.6,3.533333333,,,,,,,,,,,,,,,,,,,"Ronny Mauricio","23698",677595
"Brewer Hicklen","DET",1,5,4,1,1,0,0,0,1,0,0,0,2,0,0,0,,0,0,0.207019,0.0873082,0.370051,0.235935,0.283307,0.304743,0.266061,0.58805,0.0977233,6.16116,0.326778,0.00882092,0.035841,0.375199,-0.183517,69.5336,0.0446619,-0.0146845,-0.12196670845150948,0.0025994209572672844,0.00434354,999,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,"Brewer Hicklen","20450",676551
"Hao-Yu  Lee","DET",1,5,4,1,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.240686,0.0681489,0.199703,0.341252,0.29555,0.317731,0.275722,0.613281,0.0770454,4.38037,0.29349,-0.00138322,-0.00805571,0.41241,-0.146307,76.3372,-0.00943893,0.000223776,-0.13885715790092945,0.0175077263120329,0.00413746,999,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,"Hao-Yu  Lee","sa3017863",701678
"Tomás Nido","DET",1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0.227329,0.0411484,0.243567,0.168941,0.260946,0.333542,0.262015,0.594488,0.106213,2.04643,0.285718,-0.0131884,-0.00698866,0.328789,-0.182037,66.6838,-0.0201771,-0.0211396,-0.18677357025444508,0.06528010964393616,0.00268639,999,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,"Tomas Nido","13755",621512
