Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Luarbert Arias","MIA",0,1,0,4.80704,8,0,0,0,,8,35,8,5,4,1,3,,0,7,8.02021,3.47434,2.30841,1.34043,0.202778,0.0878432,0.11493484675884247,0.262794,1.42338,0.30558,0.693753,,,4.56643,-0.0108574,-0.0316095,999,,,,,,,31.100000000000005,3.8875000000000006,32,4,,,,,,,,,,,,,,,,,,,"Luarbert Arias","23811",678215
"Triston McKenzie","CLE",0,0,0,4.51882,6,0,0,0,,6,25,5,3,3,1,3,,0,6,8.96621,4.37449,2.04966,1.44906,0.230552,0.112483,0.11806849390268326,0.235928,1.3846,0.27818,0.72365,,,4.70903,-0.0110949,-0.00691824,581.25,,,,,,,22.10000000000001,3.683333333333335,20,3.3333333333333335,,,,,,,,,,,,,,,,,,,"Triston McKenzie","18000",663474
"Nick Robertson","HOU",1,1,0,4.36044,17,0,0,0,,17,72,16,9,8,2,7,,1,15,8.21795,3.7319,2.20208,1.16711,0.210942,0.0957921,0.11514993757009506,0.248991,1.37944,0.294883,0.711934,,,4.29201,-0.0115177,-0.0362698,999,,,,,,,65.60000000000002,3.858823529411766,65,3.823529411764706,,,,,,,,,,,,,,,,,,,"Nick Robertson","26226",687798
"Luis Patiño","SDP",0,0,0,4.56634,8,0,0,0,,8,34,7,4,4,1,3,,0,6,7.3294,3.81765,1.91987,1.21844,0.18863,0.0982516,0.09037875384092331,0.246638,1.37687,0.280578,0.695153,,,4.56579,-0.0117419,-0.00976354,999,,,,,,,31.700000000000006,3.962500000000001,30,3.75,,,,,,,,,,,,,,,,,,,"Luis Patino","22815",672715
"Joel Peguero","SFG",1,1,0,4.58581,18,0,0,0,,18,79,19,10,9,2,7,,1,14,7.08993,3.80308,1.86426,0.877637,0.176216,0.094523,0.08169259876012802,0.272015,1.5099,0.318061,0.696136,,,4.18226,-0.0119584,-0.0482367,999,,,,,,,63.200000000000024,3.5111111111111124,68,3.7777777777777777,,,,,,,,,,,,,,,,,,,"Joel Peguero","sa917689",666711
"Bailey Horn","DET",1,1,0,4.80168,11,0,0,0,,11,48,11,6,6,1,6,,0,10,8.37487,4.89557,1.7107,1.11823,0.207854,0.121502,0.08635174483060837,0.253098,1.53005,0.303328,0.700637,,,4.56722,-0.0122942,-0.0283842,999,,,,,,,42.50000000000001,3.863636363636364,44,4,,,,,,,,,,,,,,,,,,,"Bailey Horn","27753",690544
"Will Klein","LAD",1,1,0,4.50112,15,0,0,0,,15,67,14,8,7,2,9,,1,15,9.08655,5.53649,1.64121,0.942751,0.22546,0.137374,0.08808591961860657,0.238413,1.52613,0.297871,0.712237,,,4.38436,-0.0124082,-0.0290293,999,,,,,,,50.00000000000001,3.333333333333334,49,3.2666666666666666,,,,,,,,,,,,,,,,,,,"Will Klein","27787",694361
"Ryan Loutos","WSN",1,1,0,4.42534,22,0,0,0,,22,96,22,12,11,2,9,,1,18,7.4856,3.81012,1.96466,1.01466,0.189532,0.0964705,0.0930614247918129,0.258334,1.43694,0.30239,0.705556,,,4.26706,-0.0129215,-0.0457513,999,,,,,,,87.00000000000001,3.954545454545455,90,4.090909090909091,,,,,,,,,,,,,,,,,,,"Ryan Loutos","29521",702795
"Carson Ragsdale","SFG",1,1,0,4.25626,15,0,0,0,,15,63,14,7,7,2,6,,1,14,8.54115,3.73928,2.28417,1.15985,0.219734,0.0961987,0.12353537231683731,0.245242,1.36102,0.294014,0.717413,,,4.23814,-0.0129679,0.00186612,999,,,,,,,57.00000000000001,3.8000000000000003,56,3.7333333333333334,,,,,,,,,,,,,,,,,,,"Carson Ragsdale","sa3014922",685068
"Jefry Yan","COL",1,1,0,5.05729,12,0,0,0,,12,57,12,8,7,1,8,,1,13,9.23535,5.97762,1.54499,1.05123,0.224361,0.145218,0.0791422426700592,0.243472,1.6007,0.303198,0.688793,,,4.71822,-0.0129807,-0.0396738,999,,,,,,,44.30000000000001,3.6916666666666678,46,3.8333333333333335,,,,,,,,,,,,,,,,,,,"Jefry Yan","sa828460",642376
